,text,gender,category
0,"<p>but reflection brought better feelings, and shewed her",0,achievement
1,"he worked hard and earnestly, and dealt his blows with the",1,work
2,"during his working career, 100l. per annum; and yet, while he was",1,work
3,"  with slow and staggering effort he arose,",1,achievement
4,"than i could work miracles:  he writes a good hand,"" continued she,",1,work
5,<p>i tried to make him explain himself.,1,achievement
6,better training for such an encounter than she was that evening. ,0,achievement
7,"""the plan is his own.""",1,achievement
8,ordinary business engagements.  when he was professionally called,1,work
9,"i tried to comfort her on this point, but she rejected consolation.",0,achievement
10,worth nothing to the farmer. but he and his family may require,1,home
11,"<p>`immense! no doubt it was immense; the seal of success upon his words,",1,achievement
12,sledded up her winter's supply of dry pine. the company received a,0,work
13,"<p>the woman who had attended upon them had gone home for the night, but",0,home
14,"waggon-office, antonio chanced to enter on some business of his",1,work
15,"word was comprehensible.  i tried him first in english, then in ",1,achievement
16,"him almost to death!  he tried to swim away from him,",1,achievement
17,"single eye to business in his eternal dallyings, now at ",1,work
18,"he had been in company with omai, a native of one of the south sea",1,work
19,"work closed, he wearily placed the",1,work
20,this cowboy and then go back home and forget him as utterly as if,1,home
21,and i- but she paid two thousand for the doctor from moscow herself.,0,work
22,"well as the materials, tools, and wages which he advances to his",1,work
23,"dared, i tried to show the agency of ignorance in keeping men in",1,achievement
24,"since early morning he had been swimming in the river, in company",1,work
25,"discussing the work of creation, he declares that, at the command",1,work
26,"stones) -- and the noise of his feet, when it's a power of queer",1,achievement
27,"highly artificial history of the family out of pure hypotheses, he",1,home
28,"it seemed he would fly to pieces, so terrible was the control he was exerting,",1,achievement
29,"business of merchant, the business to which his family had",1,home
30,<i><p>third</i>. they heartily cooperate with the men so as to insure all of the work being done in accordance with the principles of the science which has been developed. </p>,1,work
31, in a position to give bread and work to her numerous millions of,0,work
32,"the control of mr. franklin blake, who had shown already that he could",1,achievement
33,"their unfriendly designs, for going to work was farthest from his",1,work
34,reason his work will be suggestive reading even to those who do,1,work
35,his power to select the most foolish and ruinous of all the courses,1,achievement
36,international boundary-line. his presence home long before he was,1,home
37,"his suit was such a success i began a sunbonnet, and when that",1,achievement
38,"admired her patience and devotion, but tried to keep aloof from her.",0,achievement
39,learning his tuneful trade from ev'ry bough;,1,work
40,their war-lord's hands. he would have asked for nothing better than an,1,achievement
41,"his majesty's guards, the company of monsieur dessessart, but",1,work
42,which commenced business with the poor child by asking him in its,1,work
43,"his strength gave out.  alan completed his own job and r. b.'s also,",1,work
44,position of a lackey. however much he tried he could find no,1,achievement
45,front of him the bulk of the workers squatted on the ground; some ,1,work
46,"<br>as men divinely taught, and better teaching",1,achievement
47,"to her domestic circle, she turned to her own friends.",0,home
48,"to one side, and work up on him gradually, so that he never suspects that",1,work
49,"in the dining-room, trying to think of the business he had to do at the",1,work
50,"of the 43rd, had not mr. snodgrass seized his revered leader by the coat",1,achievement
51,"<p>many stamps as he tried to make out, so i shook him, that's all.""",1,achievement
52,"landlord, to diminish his power of purchasing either the labour,",1,achievement
53,was that she must try to marry rosedale; and in this conviction,0,achievement
54,"down; but before the week was out he was sure to think better of it, bring",1,achievement
55,"""of course he has money.  how can you run a theatrical company without",1,work
56,suppressing information which it was in his power to supply. the third,1,achievement
57,possibly compass. it would seem that he had succeeded indifferently,1,achievement
58,reputation and safety.  his strenuous but ineffectual efforts,1,achievement
59,"that an author's last work is always his best one, in his own",1,work
60,"harmony with the changing universe."" he has great power of adapting his",1,achievement
61,"""it's the family language - ultramoreen,"" morgan explained to him",1,home
62,`smart piece of work that!' he remarked to himself chuckling. ,1,work
63,regarded the mortal anguish which he saw working in those dark,1,work
64,"from whom, and what he paid for it--from the first buyer",1,work
65,"who has the power - or says she has - of taking me about, and introducing",0,achievement
66,"""so much the better for him!""  and gertrude gave her little laugh again.",0,achievement
67,"interest, and for which he was paid out of the radical fund; ",1,work
68,an' so the laird may no doubt win his wager.  a' that i ken,1,achievement
69,his vile language.  the dad raised their wages all,1,work
70,"creditable to me, too.  one child to whom i paid court when she",0,work
71,affection for the animals who share his daily work,1,work
72,"and his fine family of stalwart sons and blooming daughters. his father,",1,home
73,"it seemed as if she had lost the power of saying anything else,",0,achievement
74,"`i'll pay them out yet,' said she, nodding her head with an air",0,work
75,"you are very much in the power of a cabman, and he considers it a",1,achievement
76,"be better paid for his labor than another. the inventor will ever receive,",1,work
77,"was that of listener, especially when he succeeded in setting two",1,achievement
78,"that by this work ""light would be thrown on the origin of man and his history"";",1,work
79,prison authorities and all his fellow-prisoners,1,achievement
80,later on he had quarreled with carl over wages and,1,work
81,"his father had been in the business before him, and monsieur",1,work
82,brought him a world-wide reputation; his work on astronomy,1,work
83,here he achieved it.  in many another sonnet he won the laurel;,1,achievement
84,transformed into a balmy california summer night. he tried to,1,achievement
85,"'your reverence, he has gone home quite himself.  and i'm glad to ",1,home
86,"  he enter'd in the house- his home no more,",1,home
87,"ten, was never able to know if she would win or lose in a lottery.""",0,achievement
88,whom he baptized. he wished then to go to china to win still more souls,1,achievement
89,"greek, roman and german history.  his book is not the work of a day. ",1,work
90,shall be better friends for a few moments; and then i shall tell him,1,achievement
91,"conversation, that we might the better hear each other.  he now ",1,achievement
92,"if he be such a fool, quoth carpalin, as to be won with apples, there is no",1,achievement
93,"to and fro - ""i am as good as he; i am a better man than he, i call",1,achievement
94,"despair, seeing job still persevere in putting away his things; ""you must",1,work
95,work for a few days to bring all the men into anything like,1,work
96,many of the company were very sorrowful; but duryodhana and his,1,work
97,"these things were worked at by him as things of real worth, and",1,work
98,rest of it.  when the fairy had appeared and he wanted to pay us,1,work
99,which recall the pain it gave me to control my emotions.  he ,1,achievement
100,their plans should not be divulged till he had had time ,1,achievement
101,"to know that he was better than they, was not there, trying to do something",1,achievement
102,the man even while he satirises both.  such an achievement can be,1,achievement
103,the sound of his feet upon the causeway began the business of the ,1,work
104,i wish i was better at remembering names--but i knew his face.,1,achievement
105,our business cold and lifeless exploits beside his glimpses of,1,work
106,"old privileges were lost, so that his real wages had actually",1,work
107,"more.  she even tried to do it lightly, and not to allow the",0,achievement
108,"dead man was found and buried, and the dreamer succeeded to the ",1,achievement
109,"another. the work of one man is dearer than that of another, as i",1,work
110,"he swept the lady together by a powerful movement of his arms,",1,achievement
111,"end of the contest, exalting to the best of his power and ability",1,achievement
112,chatters over any work he has to do.  it says much for laputa's,1,work
113,"can control his own desires, but he cannot likewise control",1,achievement
114,comfortable home in which she was affectionately sheltered.,0,home
115,i tried to remember what arcoll had told me about his,1,achievement
116,"""hadn't you better come and ask yourself?"" she asked, demurely.",0,achievement
117,"jones's.  with the best will in the world to pay justly, he",1,work
118,he even danced at work below.,1,work
119,are no jobs going begging through lack of men and women. the dockers,1,work
120,"secretary. ""last summer he received the wages of the whole office, and",1,work
121,"and taking with him an odrysian, a powerful person amongst those who",1,achievement
122,<p>face working in small contortions.&nbsp; sometimes he,1,work
123,"joint.  trina, meanwhile, had worked at her whittling all",0,work
124,"conscious of it. she was busy, the end of the day was here, the work went",0,work
125,when her vivacity and sense of humour got the better of,0,achievement
126,apartments. the king hardly paid any attention to her,0,work
127,"  ""very likely,"" said sancho; ""we had better let him dismount, and",1,achievement
128,he made it the sage business of his eye,1,work
129,"a while, near singleton, who was at work under his white umbrella,",1,work
130,hatch together! let her be fetched home directly.,0,home
131,"toward that power which alone could rescue them, her",0,achievement
132,"his family was derived from the warlike maesians.  misopogon, p.",1,home
133,situation with all its difficulties; he would not try to answer,1,achievement
134,capital from manufactures or from commerce by selling his works or,1,work
135,for working the business. then the bills became due for the cotton he had,1,work
136,"it wouldn't be better to wrench his blunder-buss from him, fire it in the",1,achievement
137,succeeded pyrrhus in his bed and throne;,1,achievement
138,"the objects that solicit her eye, that she may learn the power and",0,achievement
139,"whatever it may be, brought home to him so quickly. frightening him will",1,home
140,"his morals. of alexander, whose deeds won him the name of great,",1,achievement
141,"he sat with his family as usual, but took no part in their",1,home
142,and she tried to describe them as at this distance they appeared,0,achievement
143,"worked by a spring, went out to meet him, and deflected his rush",1,work
144,better than his mother's.  he must talk to seth before he went to,1,achievement
145,of a decline in the author's power of awaking interest.  many of his,1,achievement
146,"then i out with my saw, and went to work on that log again. before he was",1,work
147,"for a lame child--i found that i had said ""i'd better carry her over",0,achievement
